"simulation","method","lambda","rank","effective_rank","rmse","converged"
0,"PCA (oracle)",NA,0,0,0.857178517027831,NA
0,"PCA (oracle)",NA,1,1,0.75961894612308,NA
0,"PCA (oracle)",NA,2,2,0.653524257026969,NA
0,"PCA (oracle)",NA,3,3,0.561857892596972,NA
0,"PCA (oracle)",NA,4,4,0.471876331312648,NA
0,"PCA (oracle)",NA,5,5,0.372335852974877,NA
0,"PCA (oracle)",NA,6,6,0.243178030917749,NA
0,"PCA (oracle)",NA,7,7,0.273953511804371,NA
0,"PCA (oracle)",NA,8,8,0.301170130509876,NA
0,"PCA (oracle)",NA,9,9,0.325533812819067,NA
0,"PCA (oracle)",NA,10,10,0.348184621870529,NA
0,"ICA (oracle)",NA,0,0,0.857178517027831,NA
0,"ICA (oracle)",NA,1,1,0.75961894612308,TRUE
0,"ICA (oracle)",NA,2,2,0.653524257026969,TRUE
0,"ICA (oracle)",NA,3,3,0.561857892596972,TRUE
0,"ICA (oracle)",NA,4,4,0.471876331312648,TRUE
0,"ICA (oracle)",NA,5,5,0.372335852974877,TRUE
0,"ICA (oracle)",NA,6,6,0.243178030917749,TRUE
0,"ICA (oracle)",NA,7,7,0.273953511804371,TRUE
0,"ICA (oracle)",NA,8,8,0.301170130509876,TRUE
0,"ICA (oracle)",NA,9,9,0.325533812819068,FALSE
0,"ICA (oracle)",NA,10,10,0.34818462187053,FALSE
0,"SoftImpute (oracle)",1,0,0,0.857178517027831,NA
0,"SoftImpute (oracle)",1,1,1,0.759560748874742,NA
0,"SoftImpute (oracle)",1,2,2,0.653379930600312,NA
0,"SoftImpute (oracle)",1,3,3,0.561581016558286,NA
0,"SoftImpute (oracle)",1,4,4,0.471414304985026,NA
0,"SoftImpute (oracle)",1,5,5,0.371583401734317,NA
0,"SoftImpute (oracle)",1,6,6,0.24174027334891,NA
0,"SoftImpute (oracle)",1,7,7,0.271650789320951,NA
0,"SoftImpute (oracle)",1,8,8,0.298148546826951,NA
0,"SoftImpute (oracle)",1,9,9,0.321890917673197,NA
0,"SoftImpute (oracle)",1,10,10,0.343986302849131,NA
1,"PCA (oracle)",NA,0,0,0.867156156622954,NA
1,"PCA (oracle)",NA,1,1,0.776143716267404,NA
1,"PCA (oracle)",NA,2,2,0.677575986306507,NA
1,"PCA (oracle)",NA,3,3,0.561079837957441,NA
1,"PCA (oracle)",NA,4,4,0.466673556035691,NA
1,"PCA (oracle)",NA,5,5,0.361416305069548,NA
1,"PCA (oracle)",NA,6,6,0.244939567938334,NA
1,"PCA (oracle)",NA,7,7,0.275337823769409,NA
1,"PCA (oracle)",NA,8,8,0.302222413759401,NA
1,"PCA (oracle)",NA,9,9,0.326513768429876,NA
1,"PCA (oracle)",NA,10,10,0.348637418638592,NA
