"simulation","method","lambda","rank","effective_rank","rmse","converged"
0,"PCA (oracle)",NA,0,0,0.777444540076908,NA
0,"PCA (oracle)",NA,1,1,0.486491208598885,NA
0,"PCA (oracle)",NA,2,2,0.35821849186621,NA
0,"PCA (oracle)",NA,3,3,0.178610564014966,NA
0,"PCA (oracle)",NA,4,4,0.219190154841213,NA
0,"PCA (oracle)",NA,5,5,0.252412554008751,NA
0,"PCA (oracle)",NA,6,6,0.281227434188526,NA
0,"PCA (oracle)",NA,7,7,0.307009450708721,NA
0,"PCA (oracle)",NA,8,8,0.330507420598157,NA
0,"PCA (oracle)",NA,9,9,0.352063350144905,NA
0,"PCA (oracle)",NA,10,10,0.372254203960148,NA
0,"PCA (oracle)",NA,11,11,0.391258212676094,NA
0,"PCA (oracle)",NA,12,12,0.409252217378324,NA
0,"PCA (oracle)",NA,13,13,0.426233306180712,NA
0,"PCA (oracle)",NA,14,14,0.442431764420721,NA
0,"PCA (oracle)",NA,15,15,0.457833078681667,NA
0,"PCA (oracle)",NA,16,16,0.472646458832831,NA
0,"PCA (oracle)",NA,17,17,0.486995566902803,NA
0,"PCA (oracle)",NA,18,18,0.500859299799571,NA
0,"PCA (oracle)",NA,19,19,0.514087720626473,NA
0,"PCA (oracle)",NA,20,20,0.527002046576832,NA
0,"PCA (oracle)",NA,21,21,0.539413000170125,NA
0,"PCA (oracle)",NA,22,22,0.551431590381797,NA
0,"PCA (oracle)",NA,23,23,0.563043461765286,NA
0,"PCA (oracle)",NA,24,24,0.574344328751025,NA
0,"PCA (oracle)",NA,25,25,0.585317492256448,NA
0,"PCA (oracle)",NA,26,26,0.595959533577036,NA
0,"PCA (oracle)",NA,27,27,0.606348611722011,NA
0,"PCA (oracle)",NA,28,28,0.616440792075749,NA
0,"PCA (oracle)",NA,29,29,0.626320289071456,NA
0,"PCA (oracle)",NA,30,30,0.636030650685989,NA
0,"ICA (oracle)",NA,0,0,0.777444540076908,NA
0,"ICA (oracle)",NA,1,1,0.486491208598885,TRUE
0,"ICA (oracle)",NA,2,2,0.358218491866211,TRUE
0,"ICA (oracle)",NA,3,3,0.178610564014966,TRUE
0,"ICA (oracle)",NA,4,4,0.219190154841213,TRUE
0,"ICA (oracle)",NA,5,5,0.252412554008752,TRUE
0,"ICA (oracle)",NA,6,6,0.281227434188526,TRUE
0,"ICA (oracle)",NA,7,7,0.307009450708721,TRUE
0,"ICA (oracle)",NA,8,8,0.330507420598157,TRUE
0,"ICA (oracle)",NA,9,9,0.352063350144905,FALSE
0,"ICA (oracle)",NA,10,10,0.372254203960148,FALSE
0,"ICA (oracle)",NA,11,11,0.391258212676094,FALSE
0,"ICA (oracle)",NA,12,12,0.409252217378324,FALSE
0,"ICA (oracle)",NA,13,13,0.426233306180713,FALSE
0,"ICA (oracle)",NA,14,14,0.442431764420721,FALSE
0,"ICA (oracle)",NA,15,15,0.457833078681667,FALSE
0,"ICA (oracle)",NA,16,16,0.472646458832831,FALSE
0,"ICA (oracle)",NA,17,17,0.486995566902803,FALSE
0,"ICA (oracle)",NA,18,18,0.500859299799571,FALSE
0,"ICA (oracle)",NA,19,19,0.514087720626474,FALSE
0,"ICA (oracle)",NA,20,20,0.527002046576833,FALSE
0,"ICA (oracle)",NA,21,21,0.539413000170125,FALSE
0,"ICA (oracle)",NA,22,22,0.551431590381797,FALSE
0,"ICA (oracle)",NA,23,23,0.563043461765286,FALSE
0,"ICA (oracle)",NA,24,24,0.574344328751025,FALSE
0,"ICA (oracle)",NA,25,25,0.585317492256448,FALSE
0,"ICA (oracle)",NA,26,26,0.595959533577037,FALSE
0,"ICA (oracle)",NA,27,27,0.606348611722011,FALSE
0,"ICA (oracle)",NA,28,28,0.616440792075749,FALSE
0,"ICA (oracle)",NA,29,29,0.626320289071456,FALSE
0,"ICA (oracle)",NA,30,30,0.636030650685989,FALSE
0,"SoftImpute (oracle)",1,0,0,0.777444540076908,NA
0,"SoftImpute (oracle)",1,1,1,0.486418788771875,NA
0,"SoftImpute (oracle)",1,2,2,0.35799093109036,NA
0,"SoftImpute (oracle)",1,3,3,0.177815321422642,NA
0,"SoftImpute (oracle)",1,4,4,0.217250266810473,NA
0,"SoftImpute (oracle)",1,5,5,0.24962105264666,NA
0,"SoftImpute (oracle)",1,6,6,0.277737076088456,NA
0,"SoftImpute (oracle)",1,7,7,0.302915950021292,NA
0,"SoftImpute (oracle)",1,8,8,0.325877371320045,NA
0,"SoftImpute (oracle)",1,9,9,0.346946743530105,NA
0,"SoftImpute (oracle)",1,10,10,0.366688979367062,NA
0,"SoftImpute (oracle)",1,11,11,0.385275104097391,NA
0,"SoftImpute (oracle)",1,12,12,0.402876601666864,NA
0,"SoftImpute (oracle)",1,13,13,0.419486982891733,NA
0,"SoftImpute (oracle)",1,14,14,0.435333059344681,NA
0,"SoftImpute (oracle)",1,15,15,0.450398197193524,NA
0,"SoftImpute (oracle)",1,16,16,0.464889276175245,NA
0,"SoftImpute (oracle)",1,17,17,0.478928241415559,NA
0,"SoftImpute (oracle)",1,18,18,0.492492898497995,NA
0,"SoftImpute (oracle)",1,19,19,0.505432694127673,NA
0,"SoftImpute (oracle)",1,20,20,0.518067201661408,NA
0,"SoftImpute (oracle)",1,21,21,0.53020690151577,NA
0,"SoftImpute (oracle)",1,22,22,0.541961907743501,NA
0,"SoftImpute (oracle)",1,23,23,0.553317362902547,NA
0,"SoftImpute (oracle)",1,24,24,0.564368277028144,NA
0,"SoftImpute (oracle)",1,25,25,0.575097581118931,NA
0,"SoftImpute (oracle)",1,26,26,0.585501498474784,NA
0,"SoftImpute (oracle)",1,27,27,0.595657670388616,NA
0,"SoftImpute (oracle)",1,28,28,0.6055219809751,NA
0,"SoftImpute (oracle)",1,29,29,0.615178174512103,NA
0,"SoftImpute (oracle)",1,30,30,0.624669461777837,NA
1,"PCA (oracle)",NA,0,0,0.804459994259563,NA
1,"PCA (oracle)",NA,1,1,0.494213333481468,NA
1,"PCA (oracle)",NA,2,2,0.344521799764849,NA
1,"PCA (oracle)",NA,3,3,0.176453373441628,NA
1,"PCA (oracle)",NA,4,4,0.217309679205143,NA
1,"PCA (oracle)",NA,5,5,0.250593868699614,NA
1,"PCA (oracle)",NA,6,6,0.279859197311776,NA
1,"PCA (oracle)",NA,7,7,0.305932186123545,NA
1,"PCA (oracle)",NA,8,8,0.329658419289742,NA
1,"PCA (oracle)",NA,9,9,0.351736080614181,NA
1,"PCA (oracle)",NA,10,10,0.372002108031809,NA
1,"PCA (oracle)",NA,11,11,0.391040032706297,NA
1,"PCA (oracle)",NA,12,12,0.408906661098736,NA
1,"PCA (oracle)",NA,13,13,0.425767878295829,NA
