"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
0,"No denoising (Z)",NA,NA,NA,1.25246524986084,NA,NA,1.25246524986084,0,0
0,"EBMF= GB+pt Laplace",7,7,7,0.117774888746887,-331691.852784446,NA,1.25246524986084,1.13469036111395,0.905965543746645
0,"cEBMF= cGB + pt Normal",10,10,10,0.0778293833713748,NA,NA,1.25246524986084,1.17463586648946,0.937859047682143
0,"PCA (oracle)",3,3,3,0.178610564014966,NA,NA,1.25246524986084,1.07385468584587,0.857392798694566
0,"ICA (oracle)",3,3,3,0.178610564014966,NA,NA,1.25246524986084,1.07385468584587,0.857392798694565
0,"SoftImpute (oracle)",3,3,3,0.177815321422642,NA,1,1.25246524986084,1.07464992843819,0.858027740536195
1,"No denoising (Z)",NA,NA,NA,1.24912617896828,NA,NA,1.24912617896828,0,0
1,"EBMF= GB+pt Laplace",6,6,6,0.111294547167599,-331227.250528017,NA,1.24912617896828,1.13783163180069,0.910902077755249
1,"cEBMF= cGB + pt Normal",10,10,10,0.077688684920586,NA,NA,1.24912617896828,1.1714374940477,0.937805574625973
1,"PCA (oracle)",3,3,3,0.176453373441628,NA,NA,1.24912617896828,1.07267280552666,0.858738551466939
1,"ICA (oracle)",3,3,3,0.176453373441628,NA,NA,1.24912617896828,1.07267280552666,0.858738551466939
1,"SoftImpute (oracle)",3,3,3,0.175613757449413,NA,1,1.24912617896828,1.07351242151887,0.859410714140616
2,"No denoising (Z)",NA,NA,NA,1.24808894820327,NA,NA,1.24808894820327,0,0
2,"EBMF= GB+pt Laplace",6,6,6,0.146262840066424,-329996.720057462,NA,1.24808894820327,1.10182610813685,0.882810563880899
2,"cEBMF= cGB + pt Normal",10,10,10,0.0738662504743424,NA,NA,1.24808894820327,1.17422269772893,0.94081651746001
2,"PCA (oracle)",3,3,3,0.175786365162496,NA,NA,1.24808894820327,1.07230258304077,0.859155579083081
2,"ICA (oracle)",3,3,3,0.175786365162496,NA,NA,1.24808894820327,1.07230258304077,0.859155579083081
2,"SoftImpute (oracle)",3,3,3,0.174880949678881,NA,1,1.24808894820327,1.07320799852439,0.859881020554955
3,"No denoising (Z)",NA,NA,NA,1.25131692575036,NA,NA,1.25131692575036,0,0
3,"EBMF= GB+pt Laplace",5,5,5,0.118087261195084,-331131.906680229,NA,1.25131692575036,1.13322966455528,0.905629614076968
3,"cEBMF= cGB + pt Normal",10,10,10,0.080123565800034,NA,NA,1.25131692575036,1.17119335995033,0.935968607032157
3,"PCA (oracle)",3,3,3,0.17711957181939,NA,NA,1.25131692575036,1.07419735393097,0.85845346756324
3,"ICA (oracle)",3,3,3,0.17711957181939,NA,NA,1.25131692575036,1.07419735393097,0.85845346756324
