"simulation","method","lambda","rank","effective_rank","rmse","converged"
0,"PCA (oracle)",NA,0,0,0.789730542848611,NA
0,"PCA (oracle)",NA,1,1,0.481153682294051,NA
0,"PCA (oracle)",NA,2,2,0.34104290430942,NA
0,"PCA (oracle)",NA,3,3,0.173274739696386,NA
0,"PCA (oracle)",NA,4,4,0.214718420326089,NA
0,"PCA (oracle)",NA,5,5,0.248765693761869,NA
0,"PCA (oracle)",NA,6,6,0.278234176098761,NA
0,"PCA (oracle)",NA,7,7,0.304549339495618,NA
0,"PCA (oracle)",NA,8,8,0.328342884849325,NA
0,"PCA (oracle)",NA,9,9,0.350147858233493,NA
0,"PCA (oracle)",NA,10,10,0.370538446598894,NA
0,"PCA (oracle)",NA,11,11,0.389512956216654,NA
0,"PCA (oracle)",NA,12,12,0.407391843957646,NA
0,"PCA (oracle)",NA,13,13,0.424391188996909,NA
0,"PCA (oracle)",NA,14,14,0.440639160532378,NA
0,"PCA (oracle)",NA,15,15,0.45619815944864,NA
0,"PCA (oracle)",NA,16,16,0.47119196184673,NA
0,"PCA (oracle)",NA,17,17,0.485379108638685,NA
0,"PCA (oracle)",NA,18,18,0.499089113394759,NA
0,"PCA (oracle)",NA,19,19,0.512261954153988,NA
0,"PCA (oracle)",NA,20,20,0.525042407747804,NA
0,"PCA (oracle)",NA,21,21,0.537410664042068,NA
0,"PCA (oracle)",NA,22,22,0.549433110106321,NA
0,"PCA (oracle)",NA,23,23,0.561091895912086,NA
0,"PCA (oracle)",NA,24,24,0.572444322939524,NA
0,"PCA (oracle)",NA,25,25,0.583469574183178,NA
0,"PCA (oracle)",NA,26,26,0.594125065740561,NA
0,"PCA (oracle)",NA,27,27,0.604576590328591,NA
0,"PCA (oracle)",NA,28,28,0.614768431938333,NA
0,"PCA (oracle)",NA,29,29,0.624752848196504,NA
0,"PCA (oracle)",NA,30,30,0.634426568943381,NA
0,"ICA (oracle)",NA,0,0,0.789730542848611,NA
0,"ICA (oracle)",NA,1,1,0.481153682294051,TRUE
0,"ICA (oracle)",NA,2,2,0.34104290430942,TRUE
0,"ICA (oracle)",NA,3,3,0.173274739696387,TRUE
0,"ICA (oracle)",NA,4,4,0.214718420326089,TRUE
0,"ICA (oracle)",NA,5,5,0.248765693761868,FALSE
0,"ICA (oracle)",NA,6,6,0.278234176098761,FALSE
0,"ICA (oracle)",NA,7,7,0.304549339495618,FALSE
0,"ICA (oracle)",NA,8,8,0.328342884849325,TRUE
0,"ICA (oracle)",NA,9,9,0.350147858233493,FALSE
