"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
0,"No denoising (Z)",NA,NA,NA,1.25018387027243,NA,NA,1.25018387027243,0,0
0,"EBMF= GB+pt Laplace",6,6,6,0.129883804075757,-330661.106977932,NA,1.25018387027243,1.12030006619667,0.896108238824539
0,"cEBMF= cGB + pt Normal",10,10,10,0.0797040876386781,NA,NA,1.25018387027243,1.17047978263375,0.936246107845473
0,"PCA (oracle)",3,3,3,0.173274739696386,NA,NA,1.25018387027243,1.07690913057604,0.861400595691074
0,"ICA (oracle)",3,3,3,0.173274739696387,NA,NA,1.25018387027243,1.07690913057604,0.861400595691074
0,"SoftImpute (oracle)",3,3,3,0.172349925240501,NA,1,1.25018387027243,1.07783394503193,0.862140338442422
1,"No denoising (Z)",NA,NA,NA,1.25246524986084,NA,NA,1.25246524986084,0,0
1,"EBMF= GB+pt Laplace",7,7,7,0.117774888746887,-331691.852784446,NA,1.25246524986084,1.13469036111395,0.905965543746645
1,"cEBMF= cGB + pt Normal",10,10,10,0.0778189260754097,NA,NA,1.25246524986084,1.17464632378543,0.937867397052288
1,"PCA (oracle)",3,3,3,0.178610564014966,NA,NA,1.25246524986084,1.07385468584587,0.857392798694566
1,"ICA (oracle)",3,3,3,0.178610564014966,NA,NA,1.25246524986084,1.07385468584587,0.857392798694565
1,"SoftImpute (oracle)",3,3,3,0.177815321422642,NA,1,1.25246524986084,1.07464992843819,0.858027740536195
2,"No denoising (Z)",NA,NA,NA,1.24912617896828,NA,NA,1.24912617896828,0,0
2,"EBMF= GB+pt Laplace",6,6,6,0.111294547167599,-331227.250528017,NA,1.24912617896828,1.13783163180069,0.910902077755249
2,"cEBMF= cGB + pt Normal",10,10,10,0.0778533044418603,NA,NA,1.24912617896828,1.17127287452642,0.937673786881832
2,"PCA (oracle)",3,3,3,0.176453373441628,NA,NA,1.24912617896828,1.07267280552666,0.858738551466939
2,"ICA (oracle)",3,3,3,0.176453373441628,NA,NA,1.24912617896828,1.07267280552666,0.858738551466939
2,"SoftImpute (oracle)",3,3,3,0.175613757449413,NA,1,1.24912617896828,1.07351242151887,0.859410714140616
3,"No denoising (Z)",NA,NA,NA,1.24808894820327,NA,NA,1.24808894820327,0,0
3,"EBMF= GB+pt Laplace",6,6,6,0.146262840066424,-329996.720057462,NA,1.24808894820327,1.10182610813685,0.882810563880899
3,"cEBMF= cGB + pt Normal",10,10,10,0.0758330972757798,NA,NA,1.24808894820327,1.17225585092749,0.939240630737939
3,"PCA (oracle)",3,3,3,0.175786365162496,NA,NA,1.24808894820327,1.07230258304077,0.859155579083081
3,"ICA (oracle)",3,3,3,0.175786365162496,NA,NA,1.24808894820327,1.07230258304077,0.859155579083081
3,"SoftImpute (oracle)",3,3,3,0.174880949678881,NA,1,1.24808894820327,1.07320799852439,0.859881020554955
4,"No denoising (Z)",NA,NA,NA,1.25131692575036,NA,NA,1.25131692575036,0,0
4,"EBMF= GB+pt Laplace",5,5,5,0.118087261195084,-331131.906680229,NA,1.25131692575036,1.13322966455528,0.905629614076968
4,"cEBMF= cGB + pt Normal",10,10,10,0.0802409834387442,NA,NA,1.25131692575036,1.17107594231162,0.935874771780437
4,"PCA (oracle)",3,3,3,0.17711957181939,NA,NA,1.25131692575036,1.07419735393097,0.85845346756324
4,"ICA (oracle)",3,3,3,0.17711957181939,NA,NA,1.25131692575036,1.07419735393097,0.85845346756324
4,"SoftImpute (oracle)",3,3,3,0.176314435621686,NA,1,1.25131692575036,1.07500249012868,0.85909689864064
5,"No denoising (Z)",NA,NA,NA,1.25517440552381,NA,NA,1.25517440552381,0,0
5,"EBMF= GB+pt Laplace",5,5,5,0.149733867610922,-331298.365751754,NA,1.25517440552381,1.10544053791289,0.880706723343013
5,"cEBMF= cGB + pt Normal",10,10,10,0.0818025634369973,NA,NA,1.25517440552381,1.17337184208682,0.93482773144752
5,"PCA (oracle)",3,3,3,0.177453865832659,NA,NA,1.25517440552381,1.07772053969116,0.858622144419362
5,"ICA (oracle)",3,3,3,0.177453865832659,NA,NA,1.25517440552381,1.07772053969116,0.858622144419362
5,"SoftImpute (oracle)",3,3,3,0.176612150741141,NA,1,1.25517440552381,1.07856225478267,0.859292740543545
6,"No denoising (Z)",NA,NA,NA,1.25136514650578,NA,NA,1.25136514650578,0,0
